id,package,date,severity,cvss_score,patched_versions,categories,type,url,description
RUSTSEC-2019-0022,portaudio-rs,2019-09-14,critical,9.8,> 0.3.1,code-execution,Vulnerability,https://github.com/mvdnes/portaudio-rs/issues/20,Stream callback function is not unwind safe
RUSTSEC-2020-0060,futures-task,2020-09-04,high,7.8,>=0.3.6,code-execution,Vulnerability,https://github.com/rust-lang/futures-rs/pull/2206,futures_task::waker may cause a use-after-free if used on a type that isn't 'static
RUSTSEC-2020-0159,chrono,2020-11-10,none,,>=0.4.20,code-execution,Vulnerability,https://github.com/chronotope/chrono/issues/499,Potential segfault in?localtime_r?invocations
RUSTSEC-2021-0077,better-macro,2021-07-22,none,,,code-execution,Vulnerability,https://github.com/raycar5/better-macro/blob/24ff1702397b9c19bbfa4c660e2316cd77d3b900/src/lib.rs#L36-L38,better-macro has deliberate RCE to prove a point
RUSTSEC-2021-0106,bat,2021-07-15,high,7.8,>=0.18.2,code-execution,Vulnerability,https://nvd.nist.gov/vuln/detail/CVE-2021-36753,Uncontrolled Search Path Element in sharkdp/bat
RUSTSEC-2022-0017,array-macro,2022-04-27,none,,>= 2.1.2,code-execution,info,https://gitlab.com/KonradBorowski/array-macro/-/issues/5,array! macro is unsound when its length is impure constant
RUSTSEC-2024-0349,gix-worktree,2024-05-22,high,8.8,>= 0.34.0,code-execution,Vulnerability,https://github.com/Byron/gitoxide/security/advisories/GHSA-7w47-3wg8-547c,Traversal outside working tree enables arbitrary code execution
RUSTSEC-2024-0433,age,2024-12-18,none,,>=0.11.1,code-execution,Vulnerability,https://github.com/str4d/rage/security/advisories/GHSA-4fg7-vxc8-qx5w,"Malicious plugin names, recipients, or identities can cause arbitrary binary execution"
RUSTSEC-2019-0012,smallvec,2019-10-01,critical,9.8,>=0.6.10,code-execution,Vulnerability,https://github.com/servo/rust-smallvec/issues/149 ,Memory corruption in SmallVec::grow()
RUSTSEC-2020-0071,time,2020-11-18,medium,6.2,>=0.2.23,code-execution,Vulnerability,https://github.com/time-rs/time/issues/293,Potential segfault in the time crate
RUSTSEC-2021-0067,cranelift-codegen,2021-03-21,high,8.8,>=0.73.1,code-execution,Vulnerability,https://github.com/bytecodealliance/wasmtime/security/advisories/GHSA-hpqh-2wqx-7qp5,Memory access due to code generation flaw in Cranelift module
RUSTSEC-2021-0071,grep-cli,2021-06-12,critical,9.8,>=0.1.6,code-execution,Vulnerability,https://github.com/BurntSushi/ripgrep/issues/177,grep-cli may run arbitrary executables on Windows
RUSTSEC-2025-0016,pared,2024-03-13,none,,>=0.4.0,code-execution,Vulnerability,https://github.com/radekvit/pared/issues/2,Use after free in Parc and Prc due to missing lifetime constraints
RUSTSEC-2024-0432,rage,2024-12-18,none,,>=0.11.1,code-execution,Vulnerability,https://github.com/str4d/rage/security/advisories/GHSA-4fg7-vxc8-qx5w,"Malicious plugin names, recipients, or identities can cause arbitrary binary execution"
RUSTSEC-2024-0348,gix-index ,2024-03-22,high,8.8,>=0.33.0,code-execution,Vulnerability,https://github.com/Byron/gitoxide/security/advisories/GHSA-7w47-3wg8-547c,Traversal outside working tree enables arbitrary code execution
RUSTSEC-2022-0064,openssl-src ,2022-11-01,none,,>=300.0.11,code-execution,Vulnerability,https://www.openssl.org/news/secadv/20221101.txt ,X.509 Email Address 4-byte Buffer Overflow
RUSTSEC-2019-0019,blake2,2019-08-25,critical,9.8,>= 0.8.1,crypto-failure,Vulnerability,https://github.com/RustCrypto/MACs/issues/19,HMAC-BLAKE2 algorithms compute incorrect results
RUSTSEC-2019-0029,chacha20,2019-10-22,high,7.5,>= 0.2.3,crypto-failure,Vulnerability,https://github.com/RustCrypto/stream-ciphers/pull/64,ChaCha20 counter overflow can expose repetitions in the keystream
RUSTSEC-2021-0075,ark-r1cs-std,2021-07-08,none,,>=0.3.1,crypto-failure,Vulnerability,https://github.com/arkworks-rs/r1cs-std/pull/70,Flaw in FieldVar::mul_by_inverse allows unsound R1CS constraint systems
